1,0,0,39.71
1,2,0,42.22
1,4,0,41.6
1,6,0,41.65
2,0,0,45.98
2,2,0,44.28
2,4,0,45.63
2,6,0,44.97
3,0,0,38.91
3,2,0,38.69
3,4,0,39.12
3,6,0,39.33
4,0,0,42.83
4,2,0,43.14
4,4,0,46.46
4,6,0,46.25
5,0,0,47.12
5,2,0,45.57
5,4,0,46.02
5,6,0,45.55
6,0,0,44.32
6,2,0,45.44
6,4,0,45.17
6,6,0,49.07
7,0,0,37.2
7,2,0,37.62
7,4,0,38.54
7,6,0,38.26
8,0,0,40.76
8,2,0,39.56
8,4,0,42.22
8,6,0,43.98
9,0,0,43.38
9,2,0,40.08
9,4,0,40.74
9,6,0,40.16
10,0,0,43.62
10,2,0,42.08
10,4,0,39.65
10,6,0,42.02
11,0,1,41.32
11,2,1,40.27
11,4,1,36.9
11,6,1,35.9
12,0,1,44.58
12,2,1,40.9
12,4,1,42.83
12,6,1,43.22
13,0,1,37.3
13,2,1,37.84
13,4,1,36.64
13,6,1,34.83
14,0,1,43.65
14,2,1,43.38
14,4,1,44.83
14,6,1,45.16
15,0,1,45.99
15,2,1,45.33
15,4,1,46.47
15,6,1,46.41
16,0,1,46.11
16,2,1,46.85
16,4,1,46.47
16,6,1,43.42
17,0,1,38.53
17,2,1,36.36
17,4,1,26.44
17,6,1,28.74
18,0,1,43.55
18,2,1,40.39
18,4,1,40.42
18,6,1,39.35
19,0,1,43.39
19,2,1,41.34
19,4,1,39.39
19,6,1,33.19
20,0,1,41.75
20,2,1,37.43
20,4,1,35.61
20,6,1,21.89
